,video_id,comment_id,author_id,author_name,comment_text,published_at
48,BaITjgnDKbs,UgwsBd4N3NJpy47E13h4AaABAg,UC5kk3TLG4C4UOrv3ReIJ9qA,@LupitaLove,Nuestra Presidenta si está trabajando por todos y en especial por los Niños y Niñas que serán el futuro de nuestro México porque ya cuando somos adultos tenemos que dejarles un México  con futuro 🌎,2025-05-19T16:57:41Z
49,BaITjgnDKbs,UgyiA7d7Tk5h7YQf2EZ4AaABAg,UCWLCc7lcC3q6-_d8Ou4zNcw,@FranciscoAguilarVitela,"Además de preguntas tontas que hacen,como querer saber fecha de regreso de marinos muertos ,del choque del buque, esta pregunta es muy tonta, que tan relevante es esto?",2025-05-19T16:55:24Z
50,BaITjgnDKbs,UgwxLhVrqGUqC8E_7P14AaABAg,UCUCsLq9AWmUWRM5-SnLHJkA,@AlexanderVazquezcruz-c1e,Gobierno y pueblo mexicano 👏👏👏🎉🎉🎉❤️❤️❤️,2025-05-19T16:53:31Z
51,BaITjgnDKbs,UgzHoJ-UOCab16yLkIt4AaABAg,UCphAgoAnKMFb5m3BDuPc1SQ,@alfonsoarciniega7722,A perspectiva MX puros chismes te lo dijeron en tu carota  puras jaladas,2025-05-19T16:53:25Z
52,BaITjgnDKbs,UgzjTJz5kxyjLRDzAwJ4AaABAg,UCWLCc7lcC3q6-_d8Ou4zNcw,@FranciscoAguilarVitela,"Recomiendo limitar el número de preguntas a dos por periodista,dado que muchas preguntas lo hacen ,como chisme",2025-05-19T16:52:42Z
53,BaITjgnDKbs,Ugzs9DwxIbtYUNNkgxJ4AaABAg,UCphAgoAnKMFb5m3BDuPc1SQ,@alfonsoarciniega7722,A la misma oye eres chismosa no reporteras que es perspectivas del del que como dices que dijites,2025-05-19T16:50:21Z
54,BaITjgnDKbs,Ugx3achdlXkkv-bWD_Z4AaABAg,UCLQVMYOFN98unw6ipbhvhQg,@rociomurphy8434,Todos a Votar por un nuevo  poder Judicial! Afuera todo los corruptos .,2025-05-19T16:50:01Z
55,BaITjgnDKbs,UgzNW9HGzpv3OTLTNsN4AaABAg,UCWLCc7lcC3q6-_d8Ou4zNcw,@FranciscoAguilarVitela,"Tomas clases de Rumorologia en EEUU para estar jodíendo , lo digo claro,jodiendo al estado mexicano",2025-05-19T16:49:41Z
56,BaITjgnDKbs,Ugz5a7dH3m2g4HeHrwJ4AaABAg,UCLQVMYOFN98unw6ipbhvhQg,@rociomurphy8434,Todo mi apoyo a la Marina Mexicana y mis condolencias con los hechos ocurridos al Buque  Cuauhtemoc . Yo visite el Buque en el puerto de Crucesita en Huatulco Oaxaca.  Y me sorprendió la belleza del Buque y el profesionalismo de los Marinos . Dios los bendiga a todos y solidaridad con las familias de los jóvenes que fallecieron en este accidente.,2025-05-19T16:48:32Z
57,BaITjgnDKbs,UgzoVYy8hD3GPk2GEd54AaABAg,UCphAgoAnKMFb5m3BDuPc1SQ,@alfonsoarciniega7722,Que es perspectivas MX  que es eso otra tipa que sobra en la mañanera que desaliñada yfalta de educación sobras,2025-05-19T16:44:48Z
58,BaITjgnDKbs,UgylHjr4xafFtbn2pi94AaABAg,UC5kk3TLG4C4UOrv3ReIJ9qA,@LupitaLove,Que nuestra Presidenta y los que van a trabajar para cuidar los Votos que tengan mucha Vigilancia para que no se roben las cajas o cambien las papeletas todos los Mexicanos a pelar los 👀 no mas corrupcion y todos ayudemos a nuestra presidenta ella no puede todo sola así que a Barrer todo lo sucio 🇲🇽🏃‍♀️❤️,2025-05-19T16:43:42Z
59,BaITjgnDKbs,UgzHVveP-pmBZEvxOnl4AaABAg,UCV3Prdt3DOwCI0BcHXF0GaQ,@rosariomendoza314,A mí hija va en el politécnico y aún todavía no le an dado la beca ya se escribió y fue rechazada porque en cambio a mi me dan una beca como está esto si yo no estudio yo creo que su aplicación está mal donde puede ir mi hija a pedir su beca,2025-05-19T16:42:15Z
60,BaITjgnDKbs,Ugxh0974Gp22Ufi0d9t4AaABAg,UCphAgoAnKMFb5m3BDuPc1SQ,@alfonsoarciniega7722,Esta tipa corresponsal del istmo todos los días va a la mañanera nunca tiene la educación o respeto por el lugar donde está nunca pregunta cosas importantes sobra en las mañaneras,2025-05-19T16:40:41Z
61,BaITjgnDKbs,Ugxxm6PQH6kFWr8ua094AaABAg,UCH5PuvDWmVxHu75R9WRuLoQ,@CarlosGranados-o3t,Nesecitamos a bukele,2025-05-19T16:39:38Z
62,BaITjgnDKbs,UgzyqUEplX_9TN3eegJ4AaABAg,UC5kk3TLG4C4UOrv3ReIJ9qA,@LupitaLove,Desde aquí usa con todo cariño y Orgullosa de tener una gran mujer de Presidenta♥️🌎 que trabaja por los mexicanos y por su tierra y con todo Respeto y las Condolencias para los padres que perdieron a sus hijos🙏,2025-05-19T16:36:19Z
